Continentes;Gasto turístico;Periodo;Total
Europa;Gasto turístico;2023;15.821.575.508
Europa;Gasto turístico;2022;11.965.938.844
Europa;Gasto turístico;2021;4.593.953.036
Europa;Gasto turístico;2020;2.811.695.805
Europa;Gasto turístico;2019;11.793.451.893
Europa;Gasto medio turístico;2023;115,1
Europa;Gasto medio turístico;2022;102,02
Europa;Gasto medio turístico;2021;73,38
Europa;Gasto medio turístico;2020;75,56
Europa;Gasto medio turístico;2019;99,34
Europa;Gasto tarjeta;2023;5.903.089.885
Europa;Gasto tarjeta;2022;5.106.990.726
Europa;Gasto tarjeta;2021;2.946.876.627
Europa;Gasto tarjeta;2020;2.227.625.600
Europa;Gasto tarjeta;2019;4.559.130.739
África;Gasto turístico;2023;384.507.788
África;Gasto turístico;2022;380.845.623
África;Gasto turístico;2021;110.125.435
África;Gasto turístico;2020;109.135.601
África;Gasto turístico;2019;452.683.719
África;Gasto medio turístico;2023;100,98
África;Gasto medio turístico;2022;69,98
África;Gasto medio turístico;2021;49,71
África;Gasto medio turístico;2020;54,45
África;Gasto medio turístico;2019;68,22
África;Gasto tarjeta;2023;221.470.414
África;Gasto tarjeta;2022;198.306.340
África;Gasto tarjeta;2021;124.096.676
África;Gasto tarjeta;2020;118.585.719
África;Gasto tarjeta;2019;200.158.921
América del Norte;Gasto turístico;2023;1.252.970.802
América del Norte;Gasto turístico;2022;1.287.281.752
América del Norte;Gasto turístico;2021;333.844.856
América del Norte;Gasto turístico;2020;273.529.532
América del Norte;Gasto turístico;2019;1.581.481.884
América del Norte;Gasto medio turístico;2023;146,29
América del Norte;Gasto medio turístico;2022;144,18
América del Norte;Gasto medio turístico;2021;147,05
América del Norte;Gasto medio turístico;2020;148,08
América del Norte;Gasto medio turístico;2019;159,18
América del Norte;Gasto tarjeta;2023;607.131.611
América del Norte;Gasto tarjeta;2022;628.136.031
América del Norte;Gasto tarjeta;2021;243.443.116
América del Norte;Gasto tarjeta;2020;189.793.160
América del Norte;Gasto tarjeta;2019;714.480.298
Centro América y Caribe;Gasto turístico;2023;292.626.017
Centro América y Caribe;Gasto turístico;2022;249.202.193
Centro América y Caribe;Gasto turístico;2021;110.619.874
Centro América y Caribe;Gasto turístico;2020;68.699.592
Centro América y Caribe;Gasto turístico;2019;300.702.959
Centro América y Caribe;Gasto medio turístico;2023;161,11
Centro América y Caribe;Gasto medio turístico;2022;117,17
Centro América y Caribe;Gasto medio turístico;2021;100,79
Centro América y Caribe;Gasto medio turístico;2020;122,86
Centro América y Caribe;Gasto medio turístico;2019;125,41
Centro América y Caribe;Gasto tarjeta;2023;146.151.853
Centro América y Caribe;Gasto tarjeta;2022;151.806.259
Centro América y Caribe;Gasto tarjeta;2021;104.222.497
Centro América y Caribe;Gasto tarjeta;2020;72.429.602
Centro América y Caribe;Gasto tarjeta;2019;145.708.467
Sudamérica;Gasto turístico;2023;564.964.947
Sudamérica;Gasto turístico;2022;525.357.677
Sudamérica;Gasto turístico;2021;209.513.968
Sudamérica;Gasto turístico;2020;188.529.812
Sudamérica;Gasto turístico;2019;742.776.109
Sudamérica;Gasto medio turístico;2023;120,99
Sudamérica;Gasto medio turístico;2022;148,47
Sudamérica;Gasto medio turístico;2021;143,43
Sudamérica;Gasto medio turístico;2020;143,29
Sudamérica;Gasto medio turístico;2019;195,72
Sudamérica;Gasto tarjeta;2023;301.693.978
Sudamérica;Gasto tarjeta;2022;269.266.125
Sudamérica;Gasto tarjeta;2021;172.671.114
Sudamérica;Gasto tarjeta;2020;164.710.091
Sudamérica;Gasto tarjeta;2019;342.898.930
Asia;Gasto turístico;2023;865.895.607
Asia;Gasto turístico;2022;558.455.170
Asia;Gasto turístico;2021;130.788.193
Asia;Gasto turístico;2020;168.964.841
Asia;Gasto turístico;2019;1.272.334.587
Asia;Gasto medio turístico;2023;185,58
Asia;Gasto medio turístico;2022;213,8
Asia;Gasto medio turístico;2021;176,68
Asia;Gasto medio turístico;2020;172,2
Asia;Gasto medio turístico;2019;225,88
Asia;Gasto tarjeta;2023;372.810.348
Asia;Gasto tarjeta;2022;253.380.190
Asia;Gasto tarjeta;2021;115.949.649
Asia;Gasto tarjeta;2020;119.593.791
Asia;Gasto tarjeta;2019;445.725.434
Oceanía ;Gasto turístico;2023;76.302.579
Oceanía ;Gasto turístico;2022;36.582.683
Oceanía ;Gasto turístico;2021;1.877.537
Oceanía ;Gasto turístico;2020;21.272.544
Oceanía ;Gasto turístico;2019;69.961.862
Oceanía ;Gasto medio turístico;2023;174,14
Oceanía ;Gasto medio turístico;2022;318
Oceanía ;Gasto medio turístico;2021;366,71
Oceanía ;Gasto medio turístico;2020;245,71
Oceanía ;Gasto medio turístico;2019;322,86
Oceanía ;Gasto tarjeta;2023;27.501.017
Oceanía ;Gasto tarjeta;2022;18.239.922
Oceanía ;Gasto tarjeta;2021;4.956.697
Oceanía ;Gasto tarjeta;2020;14.776.398
Oceanía ;Gasto tarjeta;2019;38.406.402
